id,_docid,studyid,category,precontext,keyword,postcontext
0,1,wxy,Luther,"Martin Luther, O.S.A. (/ˈluːθər/;[1]",German,": [ˈmaʁtiːn ˈlʊtɐ]; 10 November 1483[2] – 18 February 1546) was a German professor of theology, composer, priest, Augustinian monk,[3] and a seminal figure in the Protestant Reform"
1,1,wxy,Luther,"Martin Luther, O.S.A. (/ˈluːθər/;[1] German: [ˈmaʁtiːn ˈlʊtɐ]; 10 November 1483[2] – 18 February 1546) was a",German,"professor of theology, composer, priest, Augustinian monk,[3] and a seminal figure in the Protestant Reformation. Luther was ordained to the priesthood in 1507. He came to reject"
2,2,wxy,Luther,"hristians to be a holy priesthood.[5] Those who identify with these, and all of Luther's wider teachings, are called Lutherans, though Luther insisted on Christian or Evangelical (",German,: evangelisch) as the only acceptable names for individuals who professed Christ.
3,3,rd5,Luther,His translation of the Bible into the,German,vernacular (instead of Latin) made it more accessible to the laity
4,4,rd5,Ruhr,he Ruhr (/ˈrʊər/ ROOR;,German,": Ruhrgebiet [ˈʁuːɐ̯ɡəˌbiːt] (About this soundlisten)), also referred to as Ruhr district, Ruhr region, Ruhr area or Ruhr valley, is a polycentric urban area in North Rhine-Westpha"
5,4,rd5,Ruhr,"rgebiet [ˈʁuːɐ̯ɡəˌbiːt] (About this soundlisten)), also referred to as Ruhr district, Ruhr region, Ruhr area or Ruhr valley, is a polycentric urban area in North Rhine-Westphalia,",Germany,".[a] With a population density of 2,800/km2 and a population of over 5 million (2017),[3] it is the largest urban area in Germany and the second largest in the European Union.[4] I"
6,4,rd5,Ruhr,"polycentric urban area in North Rhine-Westphalia, Germany.[a] With a population density of 2,800/km2 and a population of over 5 million (2017),[3] it is the largest urban area in",Germany,"and the second largest in the European Union.[4] It consists of several large cities bordered by the rivers Ruhr to the south, Rhine to the west, and Lippe to the north. In the so"
7,6,abc,Frankfurt,Frankfurt (officially: Frankfurt am Main (,German,": [ˈfʁaŋkfʊʁt ʔam ˈmaɪn] (About this soundlisten); Hessian: Frangford am Maa, lit. ""Frank ford on the[a] Main"")) is a metropolis and the largest city of the German state of Hesse."
8,6,abc,Frankfurt,"ankfurt am Main (German: [ˈfʁaŋkfʊʁt ʔam ˈmaɪn] (About this soundlisten); Hessian: Frangford am Maa, lit. ""Frank ford on the[a] Main"")) is a metropolis and the largest city of the",German,"state of Hesse. Its 753,056 (2018) inhabitants make it the fifth-largest city in Germany. On the River Main (a tributary of the Rhine), it forms a continuous conurbation with the"
9,6,abc,Frankfurt,"ford am Maa, lit. ""Frank ford on the[a] Main"")) is a metropolis and the largest city of the German state of Hesse. Its 753,056 (2018) inhabitants make it the fifth-largest city in",Germany,". On the River Main (a tributary of the Rhine), it forms a continuous conurbation with the neighbouring city of Offenbach am Main and its urban area has a population of 2.3 million"
10,6,abc,Frankfurt,"n and its urban area has a population of 2.3 million.[2][4] The city is at the centre of the larger Rhine-Main Metropolitan Region, which has a population of 5.5 million[1] and is",Germany,"'s second-largest metropolitan region after the Rhine-Ruhr Region. Between the 2013 enlargement of the European Union and the United Kingdom's withdrawal in 2020, the geographic ce"
